sid,period,recipient,subject,group,profit,totalprofit,pair,roletrust,ingroup,svogroup,role,roledictator,trio,trustprofit,give,other1,other2,otherteam,othernum,dictator_roundpay,dictator_team,dictator_num,dictatorprofit,selectedteam,selectednum,mean_to_self,mean_to_other,not_altru_indiv,inequality_aversion_score,payed_slider,svoprofit,kept_of_sender,received_from_sender,totalpayoff,topay,session,groupid,correct,correct_group,svo_angle,svo_type,sent,returned,kindness,discrimination,partner_team,partner_id,direct,otherdirect,greciprocity,othergreciprocity,in_group,otherin_group,conddirect,condgrec,condin,condition,inbiasround,inbias,groupbias,groupkindness,groupsend,history
116,6,2,20,5,0,0,8,2,4,9,1,3,3,30,35,1,2,2,1,35,1,4,35,2,1,171.666666666666,138,0,-99,2,200,0,0,295,50,5,29,2,2,37.612617,2,10,0,0,0,2,4,0,0,1,0,0,0,0,1,0,3,,,,.41666666,,0
117,1,1,21,6,0,0,9,2,1,12,2,3,5,260,35,1,2,2,2,30,6,1,0,0,0,0,0,0,-99,5,0,0,0,305,51,5,30,3,3,28.442928,2,90,10,.11111111,0,3,1,0,0,0,0,0,0,0,0,0,1,,0,15,.59861112,,1
117,1,2,21,6,0,0,9,2,1,12,2,3,5,260,35,1,2,5,2,30,6,1,0,0,0,0,0,0,-99,5,0,0,0,305,51,5,30,3,3,28.442928,2,90,10,.11111111,0,3,1,0,0,0,0,0,0,0,0,0,1,,0,15,.59861112,,1
117,2,1,21,6,0,0,9,2,1,12,2,3,1,260,35,1,2,3,3,30,6,1,30,6,1,0,0,0,-99,6,0,0,0,335,56,5,30,3,3,28.442928,2,90,10,.11111111,0,3,1,0,0,1,0,0,0,0,1,0,3,,,,.59861112,,0
117,2,2,21,6,0,0,9,2,1,12,2,3,1,260,35,1,2,4,1,30,6,1,30,6,1,0,0,0,-99,6,0,0,0,335,56,5,30,3,3,28.442928,2,90,10,.11111111,0,3,1,0,0,0,1,0,0,0,1,0,3,,,,.59861112,,0
117,3,1,21,6,0,0,9,2,1,12,2,3,1,260,35,1,2,2,1,35,2,1,30,6,1,0,0,0,-99,3,0,0,0,335,56,5,30,3,3,28.442928,2,90,10,.11111111,0,3,1,0,0,0,0,0,0,0,0,0,1,,,,.59861112,,1
117,3,2,21,6,0,0,9,2,1,12,2,3,1,260,35,1,2,5,4,35,2,1,30,6,1,0,0,0,-99,3,0,0,0,335,56,5,30,3,3,28.442928,2,90,10,.11111111,0,3,1,0,0,0,0,0,0,0,0,0,1,,,,.59861112,,1
117,4,1,21,6,0,0,9,2,1,12,2,3,3,260,35,1,2,3,2,30,6,1,30,6,1,0,0,0,-99,3,0,0,0,335,56,5,30,3,3,28.442928,2,90,10,.11111111,0,3,1,0,0,1,0,0,0,0,1,0,3,,,,.59861112,,0
117,4,2,21,6,0,0,9,2,1,12,2,3,3,260,35,1,2,5,2,30,6,1,30,6,1,0,0,0,-99,3,0,0,0,335,56,5,30,3,3,28.442928,2,90,10,.11111111,0,3,1,0,0,0,1,0,0,0,1,0,3,,,,.59861112,,0
117,5,1,21,6,0,0,9,2,1,12,2,3,6,260,70,1,2,3,1,35,5,3,30,6,1,0,0,0,-99,6,0,0,0,335,56,5,30,3,3,28.442928,2,90,10,.11111111,70,3,1,1,0,0,0,0,0,1,0,0,4,,,,.59861112,,1
117,5,2,21,6,0,0,9,2,1,12,2,3,6,260,0,1,2,5,3,35,5,3,30,6,1,0,0,0,-99,6,0,0,0,335,56,5,30,3,3,28.442928,2,90,10,.11111111,70,3,1,0,1,0,0,0,0,1,0,0,4,,,,.59861112,,1
