sid,period,recipient,sessionid,subject,group,profit,totalprofit,pair,roletrust,numingroup,svogroup,role,roledictator,trio,trustprofit,give,other1,other2,otherteam,othernum,dictator_roundpay,dictator_team,dictator_num,dictatorprofit,selectedteam,selectednum,mean_to_self,mean_to_other,not_altru_indiv,inequality_aversion_score,payed_slider,svoprofit,kept_of_sender,received_from_sender,totalpayoff,topay,session,groupid,correct,correct_group,svo_angle,svo_type,collectivism,sent,returned,kindness,norsent,discrimination,partner_team,partner_id,direct,otherdirect,greciprocity,othergreciprocity,ingroup,otheringroup,conddirect,condgrec,condin,condition,_est_disc_senders,_est_discrimination,_est_disc_responders,subdisc,inbiasround,inbias,groupbias,groupkindness,groupsend,history,baseline,falsebaseline,indcondition
23,5,2,140610_0932,23,6,0,0,11,Responder,3,11,2,3,8,0,35,1,2,2,3,0,2,1,0,2,1,0,0,0,-99,5,0,0,0,40,7,1,6,3,2,40.629204,2,5.1999998,50,25,.16666667,.33333334,0,3,3,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,,,,,.30000001,,0,1,0,Baseline
23,6,1,140610_0932,23,6,0,0,11,Responder,3,11,2,3,5,0,35,1,2,3,3,30,6,3,35,3,1,165.833333333333,145.833333333333,0,-99,3,170,170,170,245,41,1,6,3,2,40.629204,2,5.1999998,50,25,.16666667,.33333334,0,3,3,1,0,0,0,0,0,1,0,0,Direct,0,1,1,0,,,,.30000001,,1,0,0,Direct
23,6,2,140610_0932,23,6,0,0,11,Responder,3,11,2,3,5,0,35,1,2,4,2,30,6,3,35,3,1,165.833333333333,145.833333333333,0,-99,3,170,170,170,245,41,1,6,3,2,40.629204,2,5.1999998,50,25,.16666667,.33333334,0,3,3,0,1,0,0,0,0,1,0,0,Direct,0,1,1,0,,,,.30000001,,1,1,1,Baseline
24,1,1,140610_0932,24,6,0,0,12,Responder,4,11,1,3,4,225,35,1,2,1,3,30,1,3,0,0,0,0,0,0,-99,5,0,0,0,265,45,1,6,3,2,33.186855,2,5.8000002,150,225,.5,1,0,3,4,0,0,0,1,0,0,0,1,0,Group,0,1,1,5,,0,9.5,.30000001,,0,1,1,Baseline
24,1,2,140610_0932,24,6,0,0,12,Responder,4,11,1,3,4,225,35,1,2,3,3,30,1,3,0,0,0,0,0,0,-99,5,0,0,0,265,45,1,6,3,2,33.186855,2,5.8000002,150,225,.5,1,0,3,4,0,0,1,0,0,0,0,1,0,Group,0,1,1,5,,0,9.5,.30000001,,0,0,0,Group
24,2,1,140610_0932,24,6,0,0,12,Responder,4,11,1,3,8,0,35,1,2,2,2,20,2,4,20,2,4,0,0,0,-99,1,0,0,0,60,10,1,6,3,2,33.186855,2,5.8000002,150,225,.5,1,0,3,4,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,,,,,.30000001,,0,1,0,Baseline
24,2,2,140610_0932,24,6,0,0,12,Responder,4,11,1,3,8,0,35,1,2,2,4,20,2,4,20,2,4,0,0,0,-99,1,0,0,0,60,10,1,6,3,2,33.186855,2,5.8000002,150,225,.5,1,0,3,4,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,,,,,.30000001,,0,1,0,Baseline
24,3,1,140610_0932,24,6,0,0,12,Responder,4,11,1,3,5,0,40,1,2,3,4,20,4,1,30,1,3,0,0,0,-99,4,0,0,0,70,12,1,6,3,2,33.186855,2,5.8000002,150,225,.5,1,10,3,4,1,0,0,0,0,0,1,0,0,Direct,0,1,1,10,,,,.30000001,,1,0,0,Direct
24,3,2,140610_0932,24,6,0,0,12,Responder,4,11,1,3,5,0,30,1,2,4,1,20,4,1,30,1,3,0,0,0,-99,4,0,0,0,70,12,1,6,3,2,33.186855,2,5.8000002,150,225,.5,1,10,3,4,0,1,0,0,0,0,1,0,0,Direct,0,1,1,10,,,,.30000001,,1,1,1,Baseline
24,4,1,140610_0932,24,6,0,0,12,Responder,4,11,1,3,2,0,35,1,2,1,3,70,1,3,30,1,3,0,0,0,-99,6,0,0,0,70,12,1,6,3,2,33.186855,2,5.8000002,150,225,.5,1,0,3,4,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,0,,,,.30000001,,0,1,0,Baseline
